Services Category,Service Name,Website Address,National Coverage,Local  Area Office,Postcode,Telephone Number,Email,Opening Hours,Service Type,Services Offered,Virtual/Online,Face to Face,Professional Referral Required ,Self Referral,Eligibility,Free Services,Council Part Funded ,Service Fee,Accepts Donations
Healthcare Services,Everyone Health Staffordshire,https://staffordshire.everyonehealth.co.uk/,Yes,"Everyone Health
3 Watling Drive
Sketchley Meadows
Hinckley
Leicestershire",LE10 3EY,0333 005 00095,eh.staffs@nhs.net,"Monday-Friday – 8.30 to 19.00
Sat - 10.00 to 14.00",Alternative & Holistic Health Services,Healthy Lifestyle,No,Yes,No,Yes,"40-74 years
Staffordshire residents Only",Yes,No,No,
Mental Wellbeing,Anxiety UK,https://www.anxietyuk.org.uk/,Yes,"Zion Community Resource Centre
339 Stretford Road
Hulme,
Manchester",M15 4ZY,03444 775 774,support@anxietyuk.org.uk,9:30am - 5:30pm Monday to Friday,Support Services,"Therapy
Counselling
Advice & Support",Yes,Yes,No,Yes,N/A,Yes,No,No,Yes
"Online tool, apps, websites",Men's Health Forum,https://www.menshealthforum.org.uk/ ,Yes,N/A,N/A,0330 097 0654,,N/A,Advice and Guidance,Online Resources,Yes,No,No,No,N/A,Yes,No,No,Yes
Pregnancy & Breastfeeding,Cannock Chase Breast Feeding Support Group,,No,"Cannock Chase Children's Centre
Cannock Road
Cannock
Staffordshire",WS11 5BU,01543 469894,michelle-safehands@hotmail.co.uk,Weekly Sesions,Support Group,"Support
Socialisation",Yes,Yes,No,Yes,Cannock Chase District Residents Only,Yes,No,No,
Sensory Support,Newcastle Weekly Blind Social Club,,No,"27, May Street
Newcastle under Lyme
Staffordshire",ST5 6LZ,01782 719273,,Once a month,Social Club,"Socialisation
Meals
Entertainment",No,Yes,No,Yes,Blind or Partially Sighted People Only,Yes,No,No,
Sexual Health,Savana,https://savana.org.uk/,No,"Unit C, Metro Business Park
Clough Street
Hanley
Stoke-on-trent
Staffordshire",ST1 4AF,01782 433204,,"Wed - Fri: 9am-5pm, Sat 9am-2pm
Mon/Tue extended hours: 9am-8pm
",Sexual Violence - Counselling and ISVA service,Survivor Advice & Group Support,No,Yes,Yes,Yes,Stoke on Trent Residents Only,Yes,No,No,Yes
Stopping Smoking,Smoking Cessation,,No,"Brampton Museum
Brampton Park
Newcastle under Lyme",ST5 0QP,01782 619705,,,Support Services,"Support
Nicotine Replacement Therapy",No,Yes,No,Yes,Over 18's,Yes,No,No,
Support Groups & Organisations,Chase Parkinson's Support Group,,No,"The Soldiers Club
Anglesey Street
Hednesford
Cannock
Staffordshire",WS12 1AB,01543 422407,,,Parkinson's Disease Support Group,"Exercise Classes
Speech Therapy
Socialisation",No,Yes,No,Yes,Parkinson's suffers,Yes,No,No,
Weight Management & Healthy Eating,Everyone Health Staffordshire,,No,"Clinic Contact Centre

Email: eh.staffs@nhs.net ",,0333 005 0095,,,Weight Loss Group,12 week programmes,Yes,Yes,No,Yes,"Over 18's
BMI 30+
Staffordshire Residents Only",Yes,No,No,
Falls Management,East Staffordshire Falls Management Service,"
East Staffordshire Falls Management Service",No,"Midlands Partnership University NHS Foundation Trust,
Trust Headquarters, St. George's Hospital, Corporation Street, Stafford",ST16 3SR,0300 323 0930,"
eaststaffsccc@mpft.nhs.uk",Monday to Friday,Falls Prevention,"Occupational Health, Physiotherapists, Assessments and Recovery Programmes",No,Yes,Yes,No,Must have GP based in East Staffordshire & 65+,Yes,No,No,
